Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
10631,1.15,Premium,I,SI1,62.2,59.0,4830,6.75,6.68,4.18
42902,0.59,Good,F,SI1,59.1,58.0,1361,5.46,5.5,3.24
36771,0.34,Ideal,G,VVS1,62.1,57.0,956,4.47,4.45,2.77
32217,0.31,Ideal,G,VVS1,61.3,56.0,789,4.37,4.41,2.69
51394,0.66,Premium,F,VS1,60.8,58.0,2368,5.67,5.64,3.44
43390,0.5,Ideal,E,SI1,62.3,56.0,1410,5.06,5.12,3.17
18919,1.38,Ideal,F,SI2,62.0,58.0,7767,7.12,7.17,4.43
13398,0.32,Ideal,F,VS2,61.9,55.0,602,4.41,4.45,2.74
19578,1.53,Premium,J,VS1,60.1,59.0,8205,7.51,7.47,4.5
29304,0.3,Ideal,I,VS2,62.0,55.0,438,4.3,4.35,2.68
8017,1.19,Very Good,J,SI2,63.4,56.8,4329,6.7,6.79,4.27
44738,0.5,Ideal,E,SI1,61.8,56.0,1617,5.11,5.07,3.14
46995,0.54,Very Good,D,VS2,61.7,55.0,1817,5.21,5.26,3.23
3712,1.02,Ideal,J,VVS2,62.7,57.0,3451,6.45,6.37,4.02
7945,1.0,Premium,G,SI2,61.8,58.0,4319,6.39,6.43,3.96
35972,0.4,Premium,F,SI1,61.7,62.0,920,4.76,4.71,2.92
35748,0.3,Premium,D,VS2,62.8,59.0,911,4.28,4.26,2.68
27997,0.3,Very Good,E,VS2,61.9,61.0,658,4.28,4.32,2.66
34477,0.38,Ideal,E,VS2,60.1,56.0,866,4.69,4.72,2.83
32552,0.3,Premium,F,VS1,59.8,60.0,799,4.39,4.31,2.6
23268,2.04,Very Good,J,SI2,61.7,57.0,11276,8.1,8.13,5.01
3494,1.01,Good,I,SI2,62.6,59.0,3399,6.24,6.35,3.94
35489,0.46,Very Good,F,SI1,60.1,57.0,904,5.01,5.04,3.02
3313,0.9,Very Good,D,SI2,61.0,61.0,3371,6.15,6.17,3.76
14605,1.15,Ideal,D,SI2,61.7,57.0,5891,6.72,6.76,4.16
52941,0.7,Premium,E,SI1,61.7,62.0,2592,5.68,5.64,3.49
1407,0.36,Ideal,F,SI1,61.6,56.0,560,4.57,4.62,2.83
32192,0.35,Premium,H,VS1,62.6,59.0,788,4.5,4.45,2.8
24003,1.74,Premium,I,VS2,58.6,59.0,12168,7.99,7.87,4.65
50879,0.7,Premium,G,VS2,62.1,60.0,2314,5.71,5.65,3.53
1029,0.7,Very Good,E,VS1,58.4,59.0,2904,5.83,5.91,3.43
